,accepts_apple_pay,accepts_bitcoin,accepts_credit_cards,accepts_google_pay,alcohol,ambience,attire,best_nights,bike_parking,caters,coat_check,date,delivery,dogs_allowed,gender_neutral_restrooms,good_for,good_for_dancing,good_for_groups,good_for_kids,happy_hour,has_dairy-free_options,has_gluten-free_options,has_pool_table,has_soy-free_options,has_tv,liked_by_vegans,liked_by_vegetarians,noise_level,outdoor_seating,parking,price_range,rating,review,smoking,take-out,takes_reservations,waiter_service,wheelchair_accessible,wi-fi
265,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/14/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Great service, and food as always.  Worth the wait. My little boy and I came in and was actually asked if wanted his order in a kid's size.  I never knew they had this because I've never been offered it in the past.  It worked out perfect because he couldn't even finish the kids size. So glad the waitress noticed.",,Yes,No,,,Free
266,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/11/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Looks can be deceiving. From the outside, the restaurant looks dainty, old-fashioned, & small...but when you step inside, there's this weird but good feeling of home.We got there around 1030am, & the wait was already an hour. This place is poppin'! We were willing to wait despite hangry (yes, hungry-angry) stomachs since there were rave reviews about this place.We got seated in half an hour since a lot of parties before us didn't show up. Their texting system of letting you know your table was ready wasn't working that day, so I guess that turned out to be ever in our favor! :DThe food was amazing. The corned beef hash was indeed freshly made in house; & the créme brûlée French toast was excellent. The only downside is that if you have more than 2 of those pieces of toasts (it's huge; & my bf regrets getting 2 of them lol), you will be overwhelmed by the caramelized sugar that coats it...which is why I docked off one star. It's one of the options on their menu; but mix it up! Other than that, order away! I highly recommend the corned beef hash. The best I've had outside Portland! Ugh I'm craving it right this very second! Lol. c:",,Yes,No,,,Free
267,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/10/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Incredibly generous and personal service.Incredibly large portions, and homemade quality.Incredible cocktailsThis place is Just Incredible",,Yes,No,,,Free
268,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,11/10/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"LOVE LOVE LOVE it here! Worth the wait every time. The food is Amazing as well as the service such kind servers! Flying biscuit, creme brûlée French toast, corned beef hash, cinnamon roll pancakes, cottage cheese pancakes, and if your lucky and her special is lemon poppy seed don't hesitate order that! It's amazing !",,Yes,No,,,Free
269,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,3/19/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Crème brûlée French toast. Enough said. Seriously though breakfast here is amazing. You might have to wait a while for a table but it's well worth it.,,Yes,No,,,Free
270,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,3/24/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place has so many reviews for being awesome, so I'll just tell you what you want to know.THE FOOD IS WORTH THE WAIT.There system for seating has improved and as always the most delicious food you have ever eaten. I literally could go on describing there food but you need to experience it for yourself. I can't go to Sassy onion for chicken fried steak when the WoM Bistros is right down the street, same price and every facet of the meal is better.Great atmosphere, amazing staff.",,Yes,No,,,Free
271,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/23/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Our favorite place to bring out of town guests who love good food!,,Yes,No,,,Free
272,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/21/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Had the hot chocolate and creme bulee French toast, with slab bacon and egged...awesome!",,Yes,No,,,Free
273,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/25/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,2.0,"We've been to Word Of Mouth Bistro three times.The first time the food was okay.  The service was lacking.So...We went a second time.  Again the food was so so.Our friends and co-workers said we should give them one more try.So...We went again for a third try.  This time the service was good.The food was in my opinion was okay.  Not great.  Not terrible.  Just okay.  I really don't understand why people wait in a long line for this place.Maybe we should go for a fourth visit?Nah.I prefer Busick Court and The Sassy Onion.I'd give them 3 stars if it weren't for the poor service on 2 of 3 visits.By the way, GOOD service to me is periodically stopping by and asking if we want more coffee, maybe some more water, and just stopping by to see if we need anything.  That's all I ask and I don't think that is too much to ask.As a customer, I don't want to feel abandoned by our wait staff.If I have to track down our server for more coffee, to me, this is not good service.",,Yes,No,,,Free
274,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/17/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"No complaints! We were prepared for the long wait, but it is nice that they will text you so you can wait in your car or run a nearby errand. After being sat we were greeted quickly and had fantastic service. We ordered hot chocolate which was fantastic. The food came out quickly and was delicious. I got the French toast (very sweet) with the filet minon hash. Both were good and the portions were huge! We got a cinnamon roll pancake for the table, and found it overwhelmingly sweet. It was delicious and we are glad we tried it! The service is fast and amazing. You'll want to go back!",,Yes,No,,,Free
275,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/22/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"My only beef with WoM is that they aren't open 7 days a week. The creme Brule French toast is heaven on a plate. The hash is fantastic. The Reuben was awesome. The coffee is strong and tasty. If only one of their breakfasts was waiting for me every single day! It's probably best for my health and budget that they close a few days a week, come to think of it...Go here. Eat the food. Brave the one to two hour wait. It's worth it.",,Yes,No,,,Free
276,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,12/16/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,1.0,"The food is great and I will never deny that. However, the food is not good enough for a tiny parking lot (I always end up with a new dent in the side of my car) and a 90-120 mins wait for a table. Will consider going back if they ever expand.",,Yes,No,,,Free
277,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,3/9/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place is amazing! So cozy and cute, this place is always busy so you will wait but they can text you when it's almost your turn, which is nice so you don't have to stay and wait. The first time I went here we had a long wait for our food and they gave us free crème brulee french toast! It was so delicious, and made up for the wait. I have had omelets, and the flying biscuit and both are so good, this food is so fresh and the portions are huge.  My boyfriend loves the corned beef and gets it every time! This place is worth the wait and overall the $$ are reasonable!",,Yes,No,,,Free
278,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/15/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,We LOVE LOVE LOVE WOM bistro!! The girls are so nice and so is Michael! we're friends with almost everyone who works there. We're always greeted in a super friendly manner and the food is amazing. The portions are the best in town for the price and Becky even surprises you with a special treat pancake sometimes! This place is a walk in and feel like you're at home with your friends kind of bistro. No wonder they're always buzzing with customers. If you go into WOM you'll be hooked for life! Thanks for being one of a kind with one of a kind employees!,,Yes,No,,,Free
279,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/19/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Word of Mouth is one of our go-to-spots. You will have to wait, just settle that right now. If you are in a hurry pick another spot. If you are in the mood for the best food in Oregon then you will need to wait your turn. Everything is fresh and you get great portions. The staff is helpful, kind and really fun to be with. This is a place you should put on your foodie radar when you visit Salem, Oregon",,Yes,No,,,Free
280,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/8/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,2.0,"I was disappointed, this place have such great reviews and everyone is raving about how good the food is. I personally did not enjoy the food, the cinnamon roll pancake was covered in mounds of sugar, the french toast brûlée taste like a sweet dessert. Sadly this is the best place in Salem.",,Yes,No,,,Free
281,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/5/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Bloody Mary, Creme Brûlée French Toast, Flying Biscuit, Chicken fried Steak all  savory heaven. Their house country gravy is amaze ballz everyone. Its a drive but their dining experience is awesome. Worth the wait!",,Yes,No,,,Free
282,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/1/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,2.0,"The food is overwrought and overthought--one star off.The service is ""things are just like this here, have something free so you'll like me!""--another star off.But the wait, for said overwrought food, deserves its own star.  So there you go, 2 stars left, you can have them.",,Yes,No,,,Free
283,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/15/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Wholy shit, I never knew! I have nothing to say but totally bliss. No wonder why people line up at 6:30am when they open at 7am. Wait staff, awesome! Bloody Mary's, to die for! Food? ""I wouldn't want guy fieti exploiting my shit either!"" All in all. Awesomeness bliss!",,Yes,No,,,Free
284,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/17/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,Seems to be a place that's not too noisy and great coffee. Great wait staff.  Lots of very nice and friendly patrons as well.,,Yes,No,,,Free
285,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/24/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Such an amazing place! Last time we went the chef sent up the most delicious pancake for our family to enjoy!!,,Yes,No,,,Free
286,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/5/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,My favorite breakfast/brunch joint! Took 1 star off for ridiculous waiting times to get a seat (45 minutes to 1.5 hours). Need to take reservations.,,Yes,No,,,Free
287,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/31/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Love, love, love this place!  We lucked out with timing to get a seat and had to only wait 15 minutes.  The atmosphere is fun, service top notch and the portion of the foods was gigantic.  We were also lucky to get a ""just because"" serving of their delicious cinnamon roll pancake.  Don't expect fancy here, just good home cooking in enormous servings.  I bought the  coffee mug as the profits go to a charity cause.",,Yes,No,,,Free
288,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,11/25/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"We arrived for breakfast at 0700, right when they opened.  Within 10 minutes there was a 30+ minute wait.  Lucky us.  The server was super friendly. The food portions were HUGE, and the prices were quite reasonable.  The food was delicious.  I will definitely stop by again next time I am in the area.",,Yes,No,,,Free
289,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/3/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"I give 4 out of 5 just cuz it's a little small, so I thinks it's crazy people wanna have big parties here. Seems good for 2 -4 people. I don't know if they have a bar, so would be awkward if eating alone. Other than that. They make a spin on evwrything. It's all there own. I got the French Toast I wish I could have ate it all huge portions.",,Yes,No,,,Free
290,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/20/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place has a great atmosphere, fantastic cheerful servers, and provided the best breakfast I have ever had.",,Yes,No,,,Free
291,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/15/2015,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Food is delicious!! We had the cinnamon roll pancake (too sweet for me...I should've asked for the glaze separately), creme brule French toast (was perfect in sweetness), and the filet mignon chicken fried steak and eggs (soo delicious)! The bacon is a must have here! They have big portions...sharing is caring EXCEPT bacon...thats a no sharing deal!",,Yes,No,,,Free
292,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/19/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"All I can say is wow! Extremely generous portions and fantastic service.  We went back the following day because the food was so good. The sausage milk gravy is the best I have ever had.  Potatoes cooked perfectly both days.   My wife and I tried a different item every day and it was all delicious. The only downside is the wait. But we just planned that into our morning. 1.5 hrs the first day and 45 minutes the second time. Go early for shorter wait times. Go hungry, leave happy.",,Yes,No,,,Free
293,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/2/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Oh my goodness. It was just as awesome as the locals promised me!  The portions are huge and the food is fantastic. I got the kid's size hot chocolate and so glad I did. It was  the perfect size for one.  I also tried the fillet mignon chicken fried steak. Wow. It was huge and delicious!  If I'm ever back in Salem, I'll be back!",,Yes,No,,,Free
294,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/23/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Creme brulee French Toast and Filet Mignon Chicken Fried Steak are ridiculously delicious. Get it. I'd come here every day if I lived closer, but would also probably weigh at least 50 pounds more! The veggie hash was delish, and probably one of the lighter items on the menu, but that creme brulee is gonna get me every time!",,Yes,No,,,Free
295,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/6/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Amazing service! The food is to die for...albeit a little naughty (high in sugar, fat, carbs...) but hey in moderation right???Cozy environment. Worth the wait!",,Yes,No,,,Free
296,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/12/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Best breakfast ever!! We sat at the bar and so enjoyed the staff who were so excited about the place they worked.  Definitely will be going back!,,Yes,No,,,Free
297,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/10/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Word of Mouth was a place that my sisters and I would frequent, especially during their earlier days -- but the popularity of this place, leading to crowding and longer wait times, has dampened by experience over the years. This was also the case at my more recent visit.Not to say that this place isn't fantastic -- the food is stellar (I've found myself frequently ordering The Woodstock) and the wait staff is polite and delivers great service. The only real issue I have is the feeling of occasional claustrophobia, being that the volume of conversations leads to a louder meal and an attempt to get everyone seated results in the small building feeling even smaller.This seems to be the ideal spot for hip mothers, girlfriends, and semi-snobbish sisters. It's been very obvious that this is the case the times I've gone -- I'll find a lone husband amongst a group of his wife's coworkers, and nod to them to give both myself and him comfort. We are few in numbers there.Regardless, if you want to impress your girlfriend -- take her here. Flying solo, or if you're out with the 'bros', there are a few other places that offer comparable food and feel a little less intimidating.",,Yes,No,,,Free
298,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/8/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Will you wait a while? Yes.Will it be worth the long wait? ABSOLUTELY.The food is never not fantastic and the staff are always very sweet and friendly. I always direct  people from out of town to WoM.,,Yes,No,,,Free
299,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/24/2015,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"OH. EMM. GEE. This is the place to go and the locals know it. We were next to a group of 6 that had been waiting 2 hours and were just happy as could be. That's when we knew it was going to be good. We only had to wait 45 min but my goodness every bite was worth that 45 min wait. Creme Bruleé french toast, flying biscuit,  prime rib hash, spicy bloody Mary's and hobo hot chocolate...my goodness I'm still in a food coma. I highly recommend it AND if your smarter than us you will call ahead and order take out. Then you can be in food heaven without a grumbly tummy ;)",,Yes,No,,,Free
300,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/6/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"If you're thinking about going here, stop thinking and just go. It's worth the wait. The staff is great. They didn't bother me and interrupt conversations, but were available and prompt at a glance. They even brought my wife and I a 'Random act of yum-ness', which happened to be a creme brulee French toast. I'm not big into sweets, but I destroyed that thing. It was delicious. As for their other food items, the menu is very accommodating. You can get a healthy vegetable/egg white/green salad option, or a gravy covered cheat meal. Both options are super tasty. Like, super, super tasty. I'm almost positive 95% of their menu is home made/scratch. When you cook nothing but from scratch at home, you can tell the difference between freshly mixed ingredients, and boxed. I'm overall very happy with my choice to come here, and will be back often. Plus, they have pictures of puppies all over the place! Who wouldn't enjoy that.",,Yes,No,,,Free
301,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/26/2015,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,3.0,"Not impressed. Love the story of this locally owned restaurant, father/daughter started this after living on a island off the coast of Southern California, where they came up with their from 'scratch' recipes. A few Menu items are unique some are classic favorites, big portions, hefty prices for non organic. Bloody Mary is $7 and comes in a large glass, my favorite. But the -2 stars is for the rushed service, bleached wet table, dirty floor, crowded waiting area, and hostess handed me a straw with dirt under her nails and no napkin between her fingers and the tip of the straw. Where my mouth goes is where icky sticky fingers grappling  menus washing tables went. Maybe I'm just being picky. Either way hope they stay in business and read this review to edit a few things to create a wonderful experience.",,Yes,No,,,Free
302,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/12/2015,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"My daughter and I were driving south from Portland, OR and got hungry so she Yelped for a place to eat and we had the enormous good fortune to spot this place.We had to wait 20 minutes for a table and after our food was served we figured it had been well worth it. My daughter got the Creme Brulee French Toast and veggie hash. I got a bacon and spinach burrito with home style potatoes. Both were completely awesome. I've never said this before - it was better than my favorite cafe - the North Shore Cafe in Fawnskin, CA. I have a new favorite cafe. Shame it is 1000 miles from where I live.Even the coffee is good here.",,Yes,No,,,Free
303,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/1/2015,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Seriously, hands down the best breakfast joint I've ever been too!!!Pros:*Amazing food!*Good coffee*Friendly wait staff*Once you are seated and place order, food comes rather quick. Cons:*Wait time can vary anywhere from 30-60 minutes...and that's ANY day of the week they are open!",,Yes,No,,,Free
304,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/25/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"The only reason I knocked off 1 star is because the wait is often extremely long. I love this place though and if it weren't for the wait time I would eat here much more often. If you have never been, it's definitely worth the wait. after that, you have to decide for yourself.",,Yes,No,,,Free
305,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,2/18/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Always wonderful food and waitpeople are so nice!!!,,Yes,No,,,Free
306,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/4/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Worth the wait and it's rare that you won't wait.  This is the very best breakfast place around.  Hands down.  I'm from Denver, CO too.  I wish this place was in Denver.  I don't even know where to begin.  The bacon is cured in house and comes in huge slabs of yummyness.  The country gravy is to die for.  Their biscuits are so flaky and delicious.  Their french toast is thick and so creamy it melts in your mouth.  I dream of this place it's so good.  The restaurant itself is in an old house decorated in a variety of antiques and quotes on wooden pictures.  It's warm and inviting.  This place is food heaven!!!",,Yes,No,,,Free
307,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/13/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place has to be a dream. The food is off the charts incredible. I've taken many family members from out of town, and they all agree, AMAZING.",,Yes,No,,,Free
308,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,4/15/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"I've eaten there a couple of times and here are the bullet points:Positive:* food is excellent. Well presented and thought out, the chef(s) do a great job* atmosphere. Good. The converted house where the restaurant lives is cozy and homey.* service: Staff was good, friendly and professionalNegatives: * small space, long wait. Once you get in, you're set, but this small venue combined with its local popularity will mean a wait most weekends. Given the quality of the food, it is generally considered worth it...if you have the time to spend.Neither:* Price. As I recall, you spend a little more $$, but then, you aren't getting a Denver omelette at Denny's.",,Yes,No,,,Free
309,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/12/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Such an amazing spot.  Happened to be staying a few blocks up the street and WOM popped up on yelp.  Filet Mignon eggs Benedict. Need I say more?  Biscuits and gravy better than anything you have ever had. A little treat from the kitchen before the ordered food arrived in the form of a gingerbread pancake was beyond anything expected. Yes, this place was crowded and we had to wait on a Thursday morning. If that's your biggest issue for the day you're doing pretty good.  Enjoy.",,Yes,No,,,Free
310,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/14/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Service by Michael was superb (his fellow staff call him Carmychael for some reason). I ordered the Heavenly Veggie Hash $10.95 (Listed as: ""Fresh veggies- broccoli, zucchini, onions, bell peppers, spinach, crunchy cabbage, shredded carrots and spices, chopped with baby Yukon Gold potatoes. Topped with diced Roma tomatoes and grilled artichoke hearts. Served with two eggs any style and your choice of breakfast bread."") I said I was vegan, asked for no eggs but please add mushrooms. The cook thoughtfully added two hearty slices of heirloom tomatoes (which were out of this world good!) The mushrooms were so flavorful and tender, the artichoke hearts and tomatoes were extraordinary! It came with grilled sourdough bread (sweet and tangy).  I asked for olive oil for the bread. Happy it was real olive oil and not canola or something. That bread was so amazing! There was also strawberry jam that was absolutely delicious.  B had poppy seed lemon pancakes with clarified butter and thick slices of bacon which he thought tasted good and was good quality but was over the top too thick.",,Yes,No,,,Free
311,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/6/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,As always the food here was amazing only to be made better with the exceptional customer service of Kelsi Jo! She was so sweet and my coffee was never cold!,,Yes,No,,,Free
312,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/10/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Great service, amazing selection and delicious food every time!",,Yes,No,,,Free
313,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,10/1/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Wonderful restaurant!  Great food-- best Reuben I've ever had!  Terrific service! A truly unique environment! I was visiting from Berkeley and stumbled upon this gem.  When I come back to Salem, I'm coming here again.",,Yes,No,,,Free
314,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,5/5/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Be prepared to wait for over an hour....sometimes up to two hours....you'll be starving by the time you get seated. It took us another 20 minutes to get our coffee, we had to ask another waitress for help. Not sure if they were under staffed, but we noticed our waitress was also the bartender, and I think she forgot about us. Ordered the asparagus and brief omelette with ham and added tomatoes. They did give us a complimentary cottage cheese pancake, and quite honestly I actually really liked it! The omelette was pretty good, it was HUGE and the coffee is also good...one positive thing about a busy breakfast joint is that they constantly have to brew fresh coffee. Had to take it down one star because the wait is quite long, and unfortunately, I have to be honest, our service wasn't very good with our waitress and it was my first time trying this place. Also, the parking is absolutely horrible, i cringed watching people try to get in and out and this huge SUV double parked.",,Yes,No,,,Free
315,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,3/21/2016,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,2.0,Hit or big miss after waiting in line and no parking?  I was not impressed.  A big miss for me and my dad. Mom seemed happy.  I make this food at home at a higher quality standard.Sorry.I will not return.,,Yes,No,,,Free
316,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/11/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Loved it. Great food, fun atmosphere, cute decorations, friendly staff. Got there at 8am on a Friday, the wait was about 45 mins but totally worth it. While we were trying to decide on breakfast they brought us a ""just because"" cinnamon roll pancake. It was about half size which was totally big enough and I just thought that was really nice. Definitely recommend, just get there early or be prepared for a wait.",,Yes,No,,,Free
317,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,1/20/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Every good thing said about WOM is true.  Just had the best Biscuits & Gravy that I can recall. Served with fantastic, thick bacon and perfectly cooked eggs over easy.  Will definitely go back......a lot!",,Yes,No,,,Free
318,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/22/2017,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"I waited for 3 hours to eat here! And the food is worth the wait!! The previous reviewer is right, 5 stars does not do this restaurant justice. I had the Sasquatch Hash, and it was so delicious!",,Yes,No,,,Free
